,,boy,girl,
,little,91,146,237
,small,46,8,54
,tall,30,9,39
,large,30,10,40
,big,91,70,161
,,137,154,291
,,,,
,,111.577319587629,125.422680412371,
,,20.7050696141992,23.2743118290998,
,,-20.577319587629,20.577319587629,
,,25.2949303858008,-15.2743118290998,
,,3.79491175246306,3.37599292264572,
,,30.9022628343988,10.024124604229,48.0972921137366
,,,0.553878174716498,0.00000000000405586231717854
,,37.7526181618718,-6.57856636720446,
,,0.00000000000000000000000433475669763127,0.0908713493945536,
,,46.1215473350245,4.31733813738266,