"","id","a","t"
"1","1","poetologische Reflexion von Büchners Verfahren, ein Sechstel seines Dramentextes unmittelbar aus historischen Darstellungen abzuschreiben ","## 1
poetologische Reflexion von Büchners Verfahren, ein Sechstel seines Dramentextes unmittelbar aus historischen Darstellungen abzuschreiben 
"
"2","2","- buechner lässt hier das publikum seine eigene technik kommentieren und stellt sie damit in frage","- buechner lässt hier das publikum seine eigene technik kommentieren und stellt sie damit in frage
"
"3","3","Melancholie der Titelfigur mit einem posthistorischen Geschichtsverständnis in Verbindung zu setzen, dem zufolge noch revolutionäre Umsturzversuche in die ewige Wiederkehr des Gleichen münden ","## 3
Melancholie der Titelfigur mit einem posthistorischen Geschichtsverständnis in Verbindung zu setzen, dem zufolge noch revolutionäre Umsturzversuche in die ewige Wiederkehr des Gleichen münden 
"
"4","4","Kaum war der sozialgeschichtliche Ansatz an die Stelle textimmanenter Analysen getreten, wurde er wieder von strukturalen und poststrukturalen Modellen hinterfragt ","## 4
Kaum war der sozialgeschichtliche Ansatz an die Stelle textimmanenter Analysen getreten, wurde er wieder von strukturalen und poststrukturalen Modellen hinterfragt 
"
"5","5","- wer? vertreter:
  - textimmanent
  - soz.geschichtl.
  - struktural/poststruktural
  ","- wer? vertreter:
  - textimmanent
  - soz.geschichtl.
  - struktural/poststruktural
  
"
"6","6","Alternative zwischen ‚eigenem‘ Text und ‚fremden‘Kontext gerät spätestens ins Wanken, wenn die Kontexte selbst zur ästhetischen Faktur eines literarischen Textes werden, wenn die Texte also durch eine, modern gesprochen, dokumentarische Montage nicht nur historisch kontextualisierbar sind, sondern die entsprechenden Kontexte auf der Textoberfläche selbst präsentieren und zum Teil des Textes werden lassen. ","## 6
Alternative zwischen ‚eigenem‘ Text und ‚fremden‘Kontext gerät spätestens ins Wanken, wenn die Kontexte selbst zur ästhetischen Faktur eines literarischen Textes werden, wenn die Texte also durch eine, modern gesprochen, dokumentarische Montage nicht nur historisch kontextualisierbar sind, sondern die entsprechenden Kontexte auf der Textoberfläche selbst präsentieren und zum Teil des Textes werden lassen. 
"
"7","7","- volk *ist* kontext;  *wird* selbst sprecher, das den kontext kommentiert *und* seine darstellung","- volk *ist* kontext;  *wird* selbst sprecher, das den kontext kommentiert *und* seine darstellung
"
"8","8","Spannung zwischen dem Versuch, die Revolution in die Bahnen vertrauter historischer Kontexte zurückzuführen und einem Verständnis der Revolution als konsequente Umwälzung und beispiellosen Neuanfang, ","## 8
Spannung zwischen dem Versuch, die Revolution in die Bahnen vertrauter historischer Kontexte zurückzuführen und einem Verständnis der Revolution als konsequente Umwälzung und beispiellosen Neuanfang, 
"
"9","9","einerseits historische, andererseits mit der Historie brechende Revolution ","## 9
einerseits historische, andererseits mit der Historie brechende Revolution 
"
"10","10","Friedrich Schlegels apodiktische Subsumption der Französischen Revolution unter die „Tendenzen des Zeitalters ","## 10
Friedrich Schlegels apodiktische Subsumption der Französischen Revolution unter die „Tendenzen des Zeitalters 
"
"11","11","Kleists Verlegung des Impulses zum Umsturz in das Zucken von Mirabeaus Oberlippe ","## 11
Kleists Verlegung des Impulses zum Umsturz in das Zucken von Mirabeaus Oberlippe 
"
"12","12","mit vierzigjähriger Verspätung entsteht ein Drama, das den Augenblick, in dem die Revolution ihre Kinder frisst, zum unmittelbaren Gegenstand hat ","## 12
mit vierzigjähriger Verspätung entsteht ein Drama, das den Augenblick, in dem die Revolution ihre Kinder frisst, zum unmittelbaren Gegenstand hat 
"
"13","13","Vielmehr antworten einige anonyme Stimmen: „Das war schon einmal da! wie langweilig!“ ","## 13
Vielmehr antworten einige anonyme Stimmen: „Das war schon einmal da! wie langweilig!“ 
"
"14","14","Lacroix zitiert also Lasource, oder genauer: Büchner legt Dantons Freund Worte in den Mund, die er einer seiner Hauptquellen für das Drama, dem Periodikum „Unsere Zeit“, entnimmt.6 Die Antwort des Volkes auf Lacroix’ Provokation besteht darin, seine revolutionär gemeinte Aussage als Zitat zu entlarven ","## 14
Lacroix zitiert also Lasource, oder genauer: Büchner legt Dantons Freund Worte in den Mund, die er einer seiner Hauptquellen für das Drama, dem Periodikum „Unsere Zeit“, entnimmt.6 Die Antwort des Volkes auf Lacroix’ Provokation besteht darin, seine revolutionär gemeinte Aussage als Zitat zu entlarven 
"
"15","15","es ist bekannt, dass ungefähr ein Sechstel des überlieferten Dramentextes aus mehr oder weniger wörtlichen Zitaten besteht, dass „Danton’s Tod“, wie Büchners Mentor Karl Gutzkow früh festhielt, „ein dramatisirtes Capitel des Thiers“ sei,7 abgeschrieben aus der „Histoire de la Révolution Française“ von Adolphe Thiers (1823–1827) also – kein geringer Skandal für eine auf die Originalität poetischer Werke setzende Ästhetik ","## 15
es ist bekannt, dass ungefähr ein Sechstel des überlieferten Dramentextes aus mehr oder weniger wörtlichen Zitaten besteht, dass „Danton’s Tod“, wie Büchners Mentor Karl Gutzkow früh festhielt, „ein dramatisirtes Capitel des Thiers“ sei,7 abgeschrieben aus der „Histoire de la Révolution Française“ von Adolphe Thiers (1823–1827) also – kein geringer Skandal für eine auf die Originalität poetischer Werke setzende Ästhetik 
"
"16","16","bringt damit nicht nur einen historischen Stoff, sondern die historischen Quellen selbst auf die Bühne ","## 16
bringt damit nicht nur einen historischen Stoff, sondern die historischen Quellen selbst auf die Bühne 
"
"17","17","Paul Celan: Der Meridian. Frankfurt/Main 1999, S. 3. ","## 17
Paul Celan: Der Meridian. Frankfurt/Main 1999, S. 3. 
"
"18","18","sondern auf die Tatsache des Zitierens und Wiederholens selbst – und entlarvt damit die Vision einer von Tyrannen befreiten Zukunft als Zitat aus der Vergangenheit. ","## 18
sondern auf die Tatsache des Zitierens und Wiederholens selbst – und entlarvt damit die Vision einer von Tyrannen befreiten Zukunft als Zitat aus der Vergangenheit. 
"
"19","19","zwei grundsätzliche Paradoxien des Zitierens offen: das formale Paradox zwischen Authentizität und Inszenierung auf der einen sowie das inhaltliche Paradox von Zukunfts- und Vergangenheitsbezug auf der anderen Seite. ","## 19
zwei grundsätzliche Paradoxien des Zitierens offen: das formale Paradox zwischen Authentizität und Inszenierung auf der einen sowie das inhaltliche Paradox von Zukunfts- und Vergangenheitsbezug auf der anderen Seite. 
"
"20","20","Das authentische Zitat wählt sich einen fiktiven Kontext; die vorwärts gewandte Revolutionsrhetorik entstammt einem Archiv der Sentenzen und Phrasen ","## 20
Das authentische Zitat wählt sich einen fiktiven Kontext; die vorwärts gewandte Revolutionsrhetorik entstammt einem Archiv der Sentenzen und Phrasen 
"
"21","21","Die komplexe Gestalt von Dantons Tod ist die Summe isolierbarer Elemente, die der Autor in einem überraschend simplen, gelegentlich fast mechanischen Additions- und Montageverfahren zusammengefügt hat. ","## 21
Die komplexe Gestalt von Dantons Tod ist die Summe isolierbarer Elemente, die der Autor in einem überraschend simplen, gelegentlich fast mechanischen Additions- und Montageverfahren zusammengefügt hat. 
"
"22","22","Während das Stück bereits in der zeitgenössischen Rezeption als bloße historisierende Kopie bezeichnet wurde10, begnügten sich die ersten philologischen Arbeiten mit der Identifikation der Quellen ","## 22
Während das Stück bereits in der zeitgenössischen Rezeption als bloße historisierende Kopie bezeichnet wurde10, begnügten sich die ersten philologischen Arbeiten mit der Identifikation der Quellen 
"
"23","23","Dass Büchners Zitatmontage aber eine eigene Ästhetik implizieren könnte, ist erst in jüngerer Zeit erwogen worden ","## 23
Dass Büchners Zitatmontage aber eine eigene Ästhetik implizieren könnte, ist erst in jüngerer Zeit erwogen worden 
"
"24","24","Büchners häufige Zitatverwendung stelle das „Faktum“ der grundsätzlichen Zitathaftigkeit von Sprache aus: „Grundsätzlich schwebt über jedem Satz, über jedem Wort in Büchners Texten der Verdacht, es könne nicht von ihm sein ","## 24
Büchners häufige Zitatverwendung stelle das „Faktum“ der grundsätzlichen Zitathaftigkeit von Sprache aus: „Grundsätzlich schwebt über jedem Satz, über jedem Wort in Büchners Texten der Verdacht, es könne nicht von ihm sein 
"
"25","25","Verhältnis von Dramentext und historischer Quelle ","## 25
Verhältnis von Dramentext und historischer Quelle 
"
"26","26","Langweilig sind Zitate, weil sie „schon einmal da“ waren, das heißt: nichts Neues kommunizieren ","## 26
Langweilig sind Zitate, weil sie „schon einmal da“ waren, das heißt: nichts Neues kommunizieren 
"
"27","27","scharfen Kontrast zum Anspruch einer Revolution, die Gesellschaft radikal zu erneuern ","## 27
scharfen Kontrast zum Anspruch einer Revolution, die Gesellschaft radikal zu erneuern 
"
"28","28","Die Langeweile ist aber zweitens auch ein zentraler Topos in Büchners übrigem Werk, in dem immer wieder Melancholiker auftreten, die ihren Daseinsüberdruss an der, mit Nietzsche gesprochen, „ewigen Wiederkehr des Gleichen“ festmachen. ","## 28
Die Langeweile ist aber zweitens auch ein zentraler Topos in Büchners übrigem Werk, in dem immer wieder Melancholiker auftreten, die ihren Daseinsüberdruss an der, mit Nietzsche gesprochen, „ewigen Wiederkehr des Gleichen“ festmachen. 
"
"29","29","Diese Melancholie ist aber, so werde ich zu zeigen versuchen, weniger eine individualpsychologische Pathologie als der Spiegel einer neuen Relation zwischen Individuum und Geschichte ","## 29
Diese Melancholie ist aber, so werde ich zu zeigen versuchen, weniger eine individualpsychologische Pathologie als der Spiegel einer neuen Relation zwischen Individuum und Geschichte 
"
"30","30","Zitationstechnik seines Autors mit der Geschichtsmelancholie seines Protagonisten. ","## 30
Zitationstechnik seines Autors mit der Geschichtsmelancholie seines Protagonisten. 
"
"31","31","Büchners „Danton“ als Geschichtsdrama am Ende der Geschichte gelesen werden, eines Endes aber, das an die Stelle der Hegelschen Objektivierung des Weltgeists ein geradezu posthistorisches Szenario treten lässt ","## 31
Büchners „Danton“ als Geschichtsdrama am Ende der Geschichte gelesen werden, eines Endes aber, das an die Stelle der Hegelschen Objektivierung des Weltgeists ein geradezu posthistorisches Szenario treten lässt 
"
"32","32","Das Zitieren ist bei Büchner mithin nicht als austauschbares Stilmittel oder gar zu überwindende Vorstufe der Werkgenese zu betrachten, sondern als eine spezifische Schreibweise, die an die Stelle einer unmittelbaren Darstellung Sprechakte inszeniert und auf diese Weise den rhetorischen Charakter jeglicher Darstellung reflektiert ","## 32
Das Zitieren ist bei Büchner mithin nicht als austauschbares Stilmittel oder gar zu überwindende Vorstufe der Werkgenese zu betrachten, sondern als eine spezifische Schreibweise, die an die Stelle einer unmittelbaren Darstellung Sprechakte inszeniert und auf diese Weise den rhetorischen Charakter jeglicher Darstellung reflektiert 
"
"33","33","Verknüpfung der bisher zusammengetragenen Strategien: des Zitats aus historischen Dokumentationen und der rhetorischen Selbstreflexion der entsprechenden Machart des Textes ","## 33
Verknüpfung der bisher zusammengetragenen Strategien: des Zitats aus historischen Dokumentationen und der rhetorischen Selbstreflexion der entsprechenden Machart des Textes 
"
"34","34","Vom bloß dokumentierenden Zitat lässt sich mithin das Zitat dieses Zitats unterscheiden, das wiederholende Zitieren der Parlamentsreden auf der Straße, durch das Büchners Stück durchweg als inszeniertes Sprechen erscheint. ","## 34
Vom bloß dokumentierenden Zitat lässt sich mithin das Zitat dieses Zitats unterscheiden, das wiederholende Zitieren der Parlamentsreden auf der Straße, durch das Büchners Stück durchweg als inszeniertes Sprechen erscheint. 
"
"35","35","politische Stoßrichtung von „Danton’s Tod“ mit Niehoff in der parodistischen Wiederholung der Phrasen der Revolutionsrhetorik – und also in der Kritik eines falschen Sprachgebrauchs durch dessen Zitierung ","## 35
politische Stoßrichtung von „Danton’s Tod“ mit Niehoff in der parodistischen Wiederholung der Phrasen der Revolutionsrhetorik – und also in der Kritik eines falschen Sprachgebrauchs durch dessen Zitierung 
"
"36","36","schließt dieser Topos der Langeweile nicht nur, wie in der Forschung mehrfach kommentiert, an das aus dem 18. Jahrhundert ererbte, gleichermaßen medizinische wie literarische Bild der Melancholie an. ","## 36
schließt dieser Topos der Langeweile nicht nur, wie in der Forschung mehrfach kommentiert, an das aus dem 18. Jahrhundert ererbte, gleichermaßen medizinische wie literarische Bild der Melancholie an. 
"
"37","37","Langeweile des Personals in Büchners Texten beruht vielmehr auf einem strukturellen Korrelat des Zitierens: der Wiederholung immergleicher Abläufe und der Wahrnehmung einer genuinen Leere der Zeit ","## 37
Langeweile des Personals in Büchners Texten beruht vielmehr auf einem strukturellen Korrelat des Zitierens: der Wiederholung immergleicher Abläufe und der Wahrnehmung einer genuinen Leere der Zeit 
"
"38","38","scheint dieses Motiv allerdings durchaus der melancholischen Verfassung der betreffenden Figuren zugehörig. So, wenn der Hauptmann im „Woyzeck“ pseudophilosophische Reflexionen über die Unmöglichkeit, die endlos dahinfließende Zeit sinnvoll zu füllen, anstellt ","## 38
scheint dieses Motiv allerdings durchaus der melancholischen Verfassung der betreffenden Figuren zugehörig. So, wenn der Hauptmann im „Woyzeck“ pseudophilosophische Reflexionen über die Unmöglichkeit, die endlos dahinfließende Zeit sinnvoll zu füllen, anstellt 
"
"39","39","Bezug zwischen Melancholie und Langeweile ausdrücklich gestiftet, ","## 39
Bezug zwischen Melancholie und Langeweile ausdrücklich gestiftet, 
"
"40","40","Zitat ist Melancholie. Diese Lesart, der zufolge die existentielle Langeweile, der die Figuren bei Büchner immer wieder Ausdruck verleihen, der Wiederkehr von bereits Geschehenem und der Wiederholung von bereits Gesagtem geschuldet ist ","## 40
Zitat ist Melancholie. Diese Lesart, der zufolge die existentielle Langeweile, der die Figuren bei Büchner immer wieder Ausdruck verleihen, der Wiederkehr von bereits Geschehenem und der Wiederholung von bereits Gesagtem geschuldet ist 
"
"41","41","Umschlag einer vita activa in eine vita contemplativa ","## 41
Umschlag einer vita activa in eine vita contemplativa 
"
"42","42","strukturelle Widerspruch, wie er zwischen dem revolutionären Aufbruch und der resignativen Einsicht in die ewige Wiederkehr allen Geschehens besteht ","## 42
strukturelle Widerspruch, wie er zwischen dem revolutionären Aufbruch und der resignativen Einsicht in die ewige Wiederkehr allen Geschehens besteht 
"
"43","43","Thiers Dantons Zögern mit Hinweis auf seine zunehmende politische Isolation rationalisiert habe, gründe Büchner dasselbe Zögern auf grundsätzliche Reflexionen über die Natur des Menschen ","## 43
Thiers Dantons Zögern mit Hinweis auf seine zunehmende politische Isolation rationalisiert habe, gründe Büchner dasselbe Zögern auf grundsätzliche Reflexionen über die Natur des Menschen 
"
"44","44","ist es die Revolutionsgeschichte selbst, die Danton den Elan zum Handeln nimmt ","## 44
ist es die Revolutionsgeschichte selbst, die Danton den Elan zum Handeln nimmt 
"
"45","45","Dantons vermeintlich so revolutionäre Reden sind nur Zitate einer längst geprägten Rhetorik ","## 45
Dantons vermeintlich so revolutionäre Reden sind nur Zitate einer längst geprägten Rhetorik 
"
"46","46","dass Danton in seinen letzten politischen Reden nicht nur das Ende des revolutionären Terrors fordert, sondern sich bereits in der Gegenwart des Stücks nach der Revolution, am Ende ihrer Geschichte, befindet. ","## 46
dass Danton in seinen letzten politischen Reden nicht nur das Ende des revolutionären Terrors fordert, sondern sich bereits in der Gegenwart des Stücks nach der Revolution, am Ende ihrer Geschichte, befindet. 
"
"47","47","Das grammatische Futur wie das Messen der Zeit laufen leer, weil der revolutionäre Imperativ, Neues in die Welt zu setzen, vom Verlauf der Revolution selbst widerlegt wurde ","## 47
Das grammatische Futur wie das Messen der Zeit laufen leer, weil der revolutionäre Imperativ, Neues in die Welt zu setzen, vom Verlauf der Revolution selbst widerlegt wurde 
"
"48","48","Danton, wird zum Agenten der Geschichte am Ende eines auf die Zukunft und ihre Neuerungen ausgerichteten Geschichtsverständnisses. Er ist damit zugleich derjenige Repräsentant des heroischen Individuums der Geschichte, der das Ende dieses Typus einläutet ","## 48
Danton, wird zum Agenten der Geschichte am Ende eines auf die Zukunft und ihre Neuerungen ausgerichteten Geschichtsverständnisses. Er ist damit zugleich derjenige Repräsentant des heroischen Individuums der Geschichte, der das Ende dieses Typus einläutet 
"
"49","49","Umschlag der heroischen Geschichte in dasjenige, was im 20. Jahrhundert unter dem Schlagwort ‚Posthistoire‘ diskutiert wurde. ","## 49
Umschlag der heroischen Geschichte in dasjenige, was im 20. Jahrhundert unter dem Schlagwort ‚Posthistoire‘ diskutiert wurde. 
"
"50","50","das Ende des Glaubens an die Lehren der Vergangenheit, das Ende des mechanischen Modells einer Fortschrittsgeschichte und den Umschlag der Geschichte in den quasi naturgeschichtlichen Prozess von Zerfall, Entropie und schließlich Erstarrung ","## 50
das Ende des Glaubens an die Lehren der Vergangenheit, das Ende des mechanischen Modells einer Fortschrittsgeschichte und den Umschlag der Geschichte in den quasi naturgeschichtlichen Prozess von Zerfall, Entropie und schließlich Erstarrung 
"
"51","51","bricht notwendig mit der Zurechnung historischer Ereignisse an historische Subjekte ","## 51
bricht notwendig mit der Zurechnung historischer Ereignisse an historische Subjekte 
"
"52","52","Wo keine sinnhaft gesteuerten Veränderungen mehr zu konstatieren sind, gibt es auch keinen für die Vorgänge verantwortlichen Agenten mehr: „Ohne heroisches Subjekt keine Geschichte. ","## 52
Wo keine sinnhaft gesteuerten Veränderungen mehr zu konstatieren sind, gibt es auch keinen für die Vorgänge verantwortlichen Agenten mehr: „Ohne heroisches Subjekt keine Geschichte. 
"
"53","53","politischen Parolen weniger aufeinanderprallen als unaufgelöst nebeneinander stehen, dann manifestiert sich deutlich, dass die Revolution in ein Stadium eingetreten ist, in dem anstelle neuer Visionen das Zitieren der alten Phrasen vorherrscht ","## 53
politischen Parolen weniger aufeinanderprallen als unaufgelöst nebeneinander stehen, dann manifestiert sich deutlich, dass die Revolution in ein Stadium eingetreten ist, in dem anstelle neuer Visionen das Zitieren der alten Phrasen vorherrscht 
"
"54","54","In „Danton’s Tod“kommt die Revolution als sie selbst zu Wort – und stellt in dieser Zitierbarkeit ihre eigene Möglichkeit in Frage. Wo der Neuanfang schon einmal da gewesen, wo Dantons revolutionäre Rhetorik iterierbar ist, entzieht sich der Umsturz das Ziel, das er vorgibt. ","## 54
In „Danton’s Tod“kommt die Revolution als sie selbst zu Wort – und stellt in dieser Zitierbarkeit ihre eigene Möglichkeit in Frage. Wo der Neuanfang schon einmal da gewesen, wo Dantons revolutionäre Rhetorik iterierbar ist, entzieht sich der Umsturz das Ziel, das er vorgibt. 
"
"55","55","dokumentarische Poetik damit als negative Poetik zu bewerten ","## 55
dokumentarische Poetik damit als negative Poetik zu bewerten 
"
"56","56","materiellen Nachweis der Posthistoire? ","## 56
materiellen Nachweis der Posthistoire? 
"
"57","57","Neben ihrer politischen Dimension wirft die dokumentarische Literatur – die unter diesem Titel ja erst in der Weimarer Republik und dann vor allem nach dem Zweiten Weltkrieg Karriere machen wird – stets auch ein ästhetisches Problem auf, das darin besteht, den Kontrast zwischen einer poetisch geformten Sprache und der schieren Faktizität des Dokuments auszutarieren. ","## 57
Neben ihrer politischen Dimension wirft die dokumentarische Literatur – die unter diesem Titel ja erst in der Weimarer Republik und dann vor allem nach dem Zweiten Weltkrieg Karriere machen wird – stets auch ein ästhetisches Problem auf, das darin besteht, den Kontrast zwischen einer poetisch geformten Sprache und der schieren Faktizität des Dokuments auszutarieren. 
"
"58","58","zeigt, auf welche Weise die Zitate aus historischen Quellen selbst Teil einer poetischen Textur werden können, die die Rhetorik der Zitate aufgreift, weiterverfolgt und mit eigenen Worten reinszeniert ","## 58
zeigt, auf welche Weise die Zitate aus historischen Quellen selbst Teil einer poetischen Textur werden können, die die Rhetorik der Zitate aufgreift, weiterverfolgt und mit eigenen Worten reinszeniert 
"
"59","59","Dass alles schon einmal da war und langweilig ist, ist am Ende weder eine Provokation des Volks, noch die Melancholie Dantons – und auch nicht eine etwaige Resignation Georg Büchners. Es ist ein literarisches Verfahren, das dem Bruch in der Struktur der Geschichte selbst gerecht zu werden vermag ","## 59
Dass alles schon einmal da war und langweilig ist, ist am Ende weder eine Provokation des Volks, noch die Melancholie Dantons – und auch nicht eine etwaige Resignation Georg Büchners. Es ist ein literarisches Verfahren, das dem Bruch in der Struktur der Geschichte selbst gerecht zu werden vermag 
"
