Source,Target,Type,Id,Label,Weight
allgemein,Achat,Directed,858,,1
ander,Achat,Directed,859,,1
berühmt,Achat,Directed,860,,1
beschrieben,Achat,Directed,861,,2
blau,Achat,Directed,863,,2
gedrungen,Achat,Directed,865,,1
gerunden,Achat,Directed,866,,1
jeweilig,Achat,Directed,867,,1
klein,Achat,Directed,868,,1
menschlich,Achat,Directed,869,,1
mexikanisch,Achat,Directed,870,,1
pur,Achat,Directed,871,,1
schwarzweiß,Achat,Directed,872,,1
selten,Achat,Directed,873,,1
unbestreitbar,Achat,Directed,874,,1
urinfarben,Achat,Directed,875,,1
wahrnehmhar,Achat,Directed,876,,1
winzig,Achat,Directed,877,,1
aufeinanderfolgend,Ammonit,Directed,878,,1
groß,Ammonit,Directed,879,,2
lins,Ammonit,Directed,881,,1
erkennbar,Baryt,Directed,882,,1
brüderlich,Baustein,Directed,883,,1
kontrastierend,Baustein,Directed,884,,1
regellos,Baustein,Directed,885,,1
versetzt,Baustein,Directed,886,,1
lang,Bilderstein,Directed,887,,1
zerfetzt,Chlorit,Directed,888,,1
ahnlich,Dendrit,Directed,889,,1
buschig,Dendrit,Directed,890,,1
erwähnt,Dendrit,Directed,891,,1
hart,Diamant,Directed,892,,1
mikroskopisch,Diatomee,Directed,893,,1
begehrt,Edelstein,Directed,894,,1
genau,Edelstein,Directed,895,,1
kleiden,Edelstein,Directed,896,,1
werdend,Edelstein,Directed,897,,1
unschmelzbar,Eis,Directed,898,,1
blutrot,Eisenglanz,Directed,899,,1
speziell,Eisenglanz,Directed,900,,1
schnell,Ergußgestein,Directed,901,,1
vulkanisch,Ergußgestein,Directed,902,,1
amorphen,Felsgestein,Directed,903,,1
bekannt,Felsgestein,Directed,904,,1
offen,Felsgestein,Directed,905,,1
unwandelbar,Felsgestein,Directed,906,,1
geologisch,Gestein,Directed,907,,1
kieselsäurearm,Gestein,Directed,908,,1
zulaufend,Gesteinsart,Directed,909,,1
rot,Glimmer,Directed,910,,1
schwarz,Glimmer,Directed,911,,1
grundlegend,Hämatitkristall,Directed,912,,1
völlig,Hämatitkristall,Directed,913,,1
tiefbetrübt,Herz,Directed,914,,1
unbeweglich,Herz,Directed,915,,1
bekennen,Jaspis,Directed,916,,1
zufällig,Jaspis,Directed,917,,1
schwimmend,Kalkstein,Directed,918,,1
toskanisch,Kalkstein,Directed,919,,1
vorgestellt,Kalkstein,Directed,920,,1
dünn,Kalzit,Directed,921,,1
groß,Kalzit,Directed,922,,1
mineralogisch,Kalzit,Directed,923,,1
schwach,Kalzit,Directed,924,,1
gebildet,Kalzitgarbe,Directed,925,,1
mineralisiert,Kalzitgarbe,Directed,926,,1
beunruhigend,Kalzits,Directed,927,,1
skalenoedrisch,Kalzits,Directed,928,,1
zwillingsförmig,Kalzits,Directed,929,,1
lebendig,Kieselgestein,Directed,930,,1
undurchdringlich,Kieselgestein,Directed,931,,1
unvergänglich,Kieselgestein,Directed,932,,1
bedroht,Kieselsäure,Directed,933,,1
schwimmend,Kieselsäure,Directed,934,,1
absolut,Kristall,Directed,935,,1
abstrakt,Kristall,Directed,936,,1
anomal,Kristall,Directed,937,,1
ausgekleidet,Kristall,Directed,938,,1
äußerlich,Kristall,Directed,939,,1
bedauernswert,Kristall,Directed,940,,1
blasser,Kristall,Directed,941,,1
blind,Kristall,Directed,942,,1
blitzend,Kristall,Directed,943,,1
denkbar,Kristall,Directed,944,,1
doppelt,Kristall,Directed,945,,1
durchscheinend,Kristall,Directed,946,,1
ebenen,Kristall,Directed,947,,1
eigen,Kristall,Directed,948,,1
eiskalt,Kristall,Directed,949,,1
fest,Kristall,Directed,950,,1
gediegen,Kristall,Directed,951,,1
geduldig,Kristall,Directed,952,,1
geheim,Kristall,Directed,953,,1
geronnen,Kristall,Directed,954,,1
gerunden,Kristall,Directed,955,,1
gesamt,Kristall,Directed,956,,1
gewöhnlich,Kristall,Directed,957,,2
glatt,Kristall,Directed,959,,1
groß,Kristall,Directed,960,,1
hart,Kristall,Directed,961,,1
hinderlich,Kristall,Directed,962,,1
hinterlistig,Kristall,Directed,963,,1
hochentwickelt,Kristall,Directed,964,,1
klein,Kristall,Directed,965,,1
leicht,Kristall,Directed,966,,1
metallisch,Kristall,Directed,967,,1
metaphorisch,Kristall,Directed,968,,1
niedrig,Kristall,Directed,969,,1
prächtig,Kristall,Directed,970,,2
rußig,Kristall,Directed,972,,1
schief,Kristall,Directed,973,,1
schwärz,Kristall,Directed,974,,1
streng,Kristall,Directed,975,,1
transparent,Kristall,Directed,976,,1
undurchdringlich,Kristall,Directed,977,,1
ungewöhnlich,Kristall,Directed,978,,1
untadelig,Kristall,Directed,979,,1
verschieden,Kristall,Directed,980,,1
winkelig,Kristall,Directed,981,,1
winzig,Kristall,Directed,982,,1
zählebig,Kristall,Directed,983,,1
verdächtig,Kryptogame,Directed,984,,1
erwähnt,Manganabsätzen,Directed,985,,1
moosig,Mangandendrit,Directed,986,,1
undurchdringlich,Mangandendrit,Directed,987,,1
dunkel,Manganits,Directed,988,,1
fossilienführend,Marmor,Directed,989,,1
blasser,Marmorfarbe,Directed,990,,1
undeutlich,Marmorfarbe,Directed,991,,1
minderwertig,Mergelkonkretion,Directed,992,,1
aggressiv,Mineral,Directed,993,,1
ander,Mineral,Directed,994,,1
äußer,Mineral,Directed,995,,1
bestimmt,Mineral,Directed,996,,1
beteiligt,Mineral,Directed,997,,1
betroffen,Mineral,Directed,998,,1
eingeschlossen,Mineral,Directed,999,,1
fremdartig,Mineral,Directed,1000,,1
geradlinig,Mineral,Directed,1001,,1
gewöhnlich,Mineral,Directed,1002,,1
gleichgültig,Mineral,Directed,1003,,1
grenzenlos,Mineral,Directed,1004,,1
langsam,Mineral,Directed,1005,,1
leicht,Mineral,Directed,1006,,1
per,Mineral,Directed,1007,,1
rasch,Mineral,Directed,1008,,1
speziell,Mineral,Directed,1009,,1
verflüssig,Mineral,Directed,1010,,1
vollständig,Mineral,Directed,1011,,1
vorwiegend,Mineral,Directed,1012,,1
zwingend,Mineral,Directed,1013,,1
fossil,Moose,Directed,1014,,1
trocken,Moose,Directed,1015,,1
worden,Obsidiankling,Directed,1016,,1
kieselsäurearm,Onyx,Directed,1017,,1
schwarzweiß,Onyx,Directed,1018,,1
wenig,Onyx,Directed,1019,,1
lebendig,Opal,Directed,1020,,1
winzig,Orthoklas,Directed,1021,,1
abscheulich,Pyramide,Directed,1022,,1
alt,Pyramide,Directed,1023,,1
gewöhnlich,Pyramide,Directed,1024,,1
herrlich,Pyramide,Directed,1025,,1
liegend,Pyramide,Directed,1026,,1
fünfeckig,Pyrit,Directed,1027,,1
gleich,Pyrite,Directed,1028,,1
selten,Pyrite,Directed,1029,,1
absolut,Quarz,Directed,1030,,1
beteiligt,Quarz,Directed,1031,,1
braun,Quarz,Directed,1032,,1
kalt,Quarz,Directed,1033,,1
offenkundig,Quarz,Directed,1034,,1
schlickförmig,Quarz,Directed,1035,,1
schwarz,Quarz,Directed,1036,,1
spitzig,Quarz,Directed,1037,,1
undurchdringlich,Quarz,Directed,1038,,1
unnachgiebig,Quarz,Directed,1039,,1
vereinbart,Quarz,Directed,1040,,1
verloren,Quarz,Directed,1041,,1
winzig,Quarz,Directed,1042,,1
zerstäubt,Quarz,Directed,1043,,1
zugleich,Quarz,Directed,1044,,1
kurz,Quarzleist,Directed,1045,,1
groß,Quarznadeln,Directed,1046,,1
abtrünnig,Salz,Directed,1047,,1
liegend,Salz,Directed,1048,,1
mineralisch,Salz,Directed,1049,,1
prächtig,Salz,Directed,1050,,1
zuweilen,Salz,Directed,1051,,1
ander,Salze,Directed,1052,,1
beharrlich,Salze,Directed,1053,,1
fluider,Salze,Directed,1054,,1
metallisch,Salze,Directed,1055,,1
ungleichmäßig,Salze,Directed,1056,,1
schnell,Silber,Directed,1057,,1
groß,Siliziumoxid,Directed,1058,,1
blutrot,Specularit,Directed,1059,,1
bildnerisch,Stein,Directed,1060,,1
abgrenzen,Stein,Directed,1061,,1
ander,Stein,Directed,1062,,1
angeblich,Stein,Directed,1063,,1
anonym,Stein,Directed,1064,,1
anrührend,Stein,Directed,1065,,1
arabisch,Stein,Directed,1066,,1
aufgeschnitten,Stein,Directed,1067,,1
aufgestellt,Stein,Directed,1068,,1
aufmerksam,Stein,Directed,1069,,1
äußer,Stein,Directed,1070,,1
austauschbar,Stein,Directed,1071,,1
bedauernswert,Stein,Directed,1072,,1
bekennen,Stein,Directed,1073,,1
bekräftigen,Stein,Directed,1074,,1
beständig,Stein,Directed,1075,,1
bitter,Stein,Directed,1076,,1
bleich,Stein,Directed,1077,,1
bruchstückhaft,Stein,Directed,1078,,1
bunt,Stein,Directed,1079,,1
deutlich,Stein,Directed,1080,,1
dichtgedrängt,Stein,Directed,1081,,1
dritt,Stein,Directed,1082,,1
dunkel,Stein,Directed,1083,,1
durchgängig,Stein,Directed,1084,,1
durchsichtig,Stein,Directed,1085,,2
einziges,Stein,Directed,1087,,1
entgegengesetzt,Stein,Directed,1088,,1
erst,Stein,Directed,1089,,1
fest,Stein,Directed,1090,,1
folgend,Stein,Directed,1091,,1
fühllos,Stein,Directed,1092,,1
ganz,Stein,Directed,1093,,1
gefestigt,Stein,Directed,1094,,1
gefunden,Stein,Directed,1095,,1
hell,Stein,Directed,1096,,1
herrlich,Stein,Directed,1097,,1
konzentrisch,Stein,Directed,1098,,1
märchenhaftes,Stein,Directed,1099,,1
mineralogisch,Stein,Directed,1100,,1
mühelos,Stein,Directed,1101,,1
niederlegt,Stein,Directed,1102,,1
offenkundig,Stein,Directed,1103,,1
persönlich,Stein,Directed,1104,,1
phantastisch,Stein,Directed,1105,,2
rein,Stein,Directed,1107,,1
schmählich,Stein,Directed,1108,,1
schwankend,Stein,Directed,1109,,1
schwarz,Stein,Directed,1110,,1
schwermütig,Stein,Directed,1111,,1
sichtbar,Stein,Directed,1112,,1
starren,Stein,Directed,1113,,1
stumm,Stein,Directed,1114,,1
sungen,Stein,Directed,1115,,1
tintespeiend,Stein,Directed,1116,,1
tot,Stein,Directed,1117,,1
überarbeitet,Stein,Directed,1118,,1
unbewegt,Stein,Directed,1119,,1
unempfindlich,Stein,Directed,1120,,1
unerschütterlich,Stein,Directed,1121,,1
ungleichmäßig,Stein,Directed,1122,,1
unterschiedlich,Stein,Directed,1123,,1
ursprünglich,Stein,Directed,1124,,1
verschachtelt,Stein,Directed,1125,,1
verurteiln,Stein,Directed,1126,,1
verwandelnd,Stein,Directed,1127,,1
wahrscheinlich,Stein,Directed,1128,,1
weiß,Stein,Directed,1129,,2
werdend,Stein,Directed,1131,,1
winzig,Stein,Directed,1132,,1
wundersam,Stein,Directed,1133,,1
zerklüftet,Stein,Directed,1134,,1
zerrieben,Stein,Directed,1135,,1
alt,Stufenpyramide,Directed,1136,,1
überhängend,Stufenpyramide,Directed,1137,,1
völlig,Stufenpyramide,Directed,1138,,1
gleichuchl,Sykomor,Directed,1139,,1
ausgelaugt,Sykomor,Directed,1140,,1
nah,Sykomor,Directed,1141,,1
locker,Talk,Directed,1142,,1
skalenoedrisch,Topas,Directed,1143,,1
